from_node_id,to_node_id,type_code,link_type,link_length,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,link_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min), speed_limit,speed,free-flow_travel_time,travel_time,percentage_of_speed_limit, level_of_service, sensor_data_flag, sensor_link_volume, simulated_link_volume, measurement_error, abs_measurement_error_percentage, simulated_AADT, TotalEnergy_(J / hr), CO2_(g / hr), NOX_(g / hr), CO_(g / hr), HC_(g / hr, PM_(g / hr), PM_2_5(g / hr),sov_volume, hov_volume, truck_volume, intermodal_volume,passenger car,passenger truck,light commercial truck,single unit short-haul truck,combination long-haul truck,geometry, from_node_id,to_node_id,vol_h1,vol_h2,vol_h3,vol_h4,vol_h5,vol_h6,vol_h7,vol_h8,vol_h9,vol_h10,vol_h11,vol_h12,vol_h13,vol_h14,vol_h15,vol_h16,vol_h17,vol_h18,vol_h19,vol_h20,vol_h21,vol_h22,vol_h23,vol_h24,speed_h1,speed_h2,speed_h3,speed_h4,speed_h5,speed_h6,speed_h7,speed_h8,speed_h9,speed_h10,speed_h11,speed_h12,speed_h13,speed_h14,speed_h15,speed_h16,speed_h17,speed_h18,speed_h19,speed_h20,speed_h21,speed_h22,speed_h23,speed_h24,vol_d1,vol_d2,vol_d3,vol_d4,vol_d5,vol_d6,vol_d7,vol_d8,vol_d9,vol_d10,spd_d1,spd_d2,spd_d3,spd_d4,spd_d5,spd_d6,spd_d7,spd_d8,spd_d9,spd_d10
12,11,f,Freeway,0.1,390,570,5117,1900,5700,0.2992,0,60,59.9975,0.1,0.1,100,A,0,0,5117,0,0,0,0,0,0,0,0,0,0,5117,0,0,0,5117,0,0,0,0,"<LineString><coordinates>1.308763,0.002841,0.0 1.242742,0.002841,0.0</coordinates></LineString>",12,11,0,0,0,0,0,0,863,1771,1625,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,59.9963,59.9963,59.9981,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,
2,3,a,Major arterial,0.0616,390,570,0,1000,2000,0,0,20,20,0.1849,0.1849,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.621371,-0.002841,0.0 0.683000,-0.002841,0.0</coordinates></LineString>",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,
3,2,a,Major arterial,0.0616,390,570,5634,1000,2000,0.939,0,20,18.6783,0.1849,0.198,93,A,0,0,5634,0,0,0,0,0,0,0,0,0,0,5634,0,0,0,5634,0,0,0,0,"<LineString><coordinates>0.683000,0.002841,0.0 0.621371,0.002841,0.0</coordinates></LineString>",3,2,0,0,0,0,0,0,838,1846,1919,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,18.8225,18.6879,18.7235,18.4614,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,
3,5,a,Major arterial,0.0689,390,570,0,1000,2000,0,0,20,20,0.2066,0.2066,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.683000,0.000000,0.0 0.745000,-0.030000,0.0</coordinates></LineString>",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,
5,7,a,Major arterial,0.065,390,570,0,1000,2000,0,0,20,20,0.195,0.195,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.745000,-0.030000,0.0 0.810000,-0.030000,0.0</coordinates></LineString>",5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,
6,3,a,Major arterial,0.127,390,570,5634,1000,2000,0.939,0,20,12.2594,0.381,0.6216,61,C,0,0,5634,0,0,0,0,0,0,0,0,0,0,5634,0,0,0,5634,0,0,0,0,"<LineString><coordinates>0.810000,0.000000,0.0 0.683000,0.000000,0.0</coordinates></LineString>",6,3,0,0,0,0,0,0,845,1846,1918,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,10.802,11.6443,12.404,15.169,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,
12,16,f,Freeway,0.1083,390,570,0,1900,11400,0,0,65,65,0.1,0.1,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>1.308763,-0.002841,0.0 1.367016,-0.002841,0.0</coordinates></LineString>",12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,
16,12,f,Freeway,0.1083,390,570,13866,1900,11400,0.4054,0,65,64.9973,0.1,0.1,100,A,0,0,13866,0,0,0,0,0,0,0,0,0,0,13866,0,0,0,13866,0,0,0,0,"<LineString><coordinates>1.367016,0.002841,0.0 1.308763,0.002841,0.0</coordinates></LineString>",16,12,0,0,0,0,0,0,2300,4625,4626,2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,64.996,64.996,64.9979,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,
1,17,a,Major arterial,0.3107,390,570,467,1000,2000,0.0778,0,15,14.996,1.2428,1.2431,100,A,0,0,467,0,0,0,0,0,0,0,0,0,0,467,0,0,0,467,0,0,0,0,"<LineString><coordinates>0.000000,-0.002841,0.0 0.310686,-0.002841,0.0</coordinates></LineString>",1,17,0,0,0,0,0,0,0,195,140,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,14.9908,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
17,1,a,Major arterial,0.3107,390,570,0,1000,2000,0,0,15,15,1.2428,1.2428,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.310686,0.002841,0.0 0.000000,0.002841,0.0</coordinates></LineString>",17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
17,2,a,Major arterial,0.3107,390,570,0,1000,2000,0,0,15,15,1.2428,1.2428,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.310686,-0.002841,0.0 0.621371,-0.002841,0.0</coordinates></LineString>",17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,
