agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
115,115,77,88,77,88,421.58,425.80,4.22,1,1,10.00,1,5,2.60,
116,116,104,59,104,59,421.58,425.10,3.52,1,1,10.00,1,15,2.92,
117,117,16,59,16,59,421.58,426.10,4.52,1,1,10.00,1,10,3.33,
118,118,57,59,57,59,421.58,423.90,2.32,1,1,10.00,1,0,1.53,
119,119,92,59,92,59,421.58,426.20,4.62,1,1,10.00,1,15,4.01,
120,120,57,94,57,94,421.59,427.00,5.41,1,1,10.00,1,10,3.98,
121,121,77,94,77,94,421.59,427.10,5.51,1,1,10.00,1,15,3.92,
122,122,92,94,92,94,421.59,422.80,1.21,1,1,10.00,1,5,0.56,
123,123,104,94,104,94,421.59,423.80,2.21,1,1,10.00,1,15,1.68,
124,124,16,94,16,94,421.59,426.90,5.31,1,1,10.00,1,15,3.96,
125,125,57,94,57,94,421.67,427.60,5.93,1,1,10.00,1,0,3.37,
126,126,104,94,104,94,421.67,423.80,2.13,1,1,10.00,1,15,1.68,
127,127,92,94,92,94,421.67,422.80,1.13,1,1,10.00,1,10,0.56,
128,128,77,94,77,94,421.67,427.10,5.43,1,1,10.00,1,5,3.92,
129,129,16,94,16,94,421.67,427.20,5.53,1,1,10.00,1,10,4.21,
130,130,24,240,24,240,421.68,424.40,2.72,1,1,10.00,1,10,1.38,
131,131,92,94,92,94,421.74,422.80,1.06,1,1,10.00,1,5,0.56,
132,132,104,94,104,94,421.74,423.90,2.16,1,1,10.00,1,5,1.68,
133,133,57,94,57,94,421.74,427.60,5.86,1,1,10.00,1,5,3.37,
134,134,77,94,77,94,421.74,427.10,5.36,1,1,10.00,1,5,3.92,
135,135,16,94,16,94,421.74,427.00,5.26,1,1,10.00,1,5,3.96,
136,136,24,435,24,435,421.79,423.10,1.31,1,1,10.00,1,5,0.56,
137,137,77,94,77,94,421.82,427.90,6.08,1,1,10.00,1,15,3.31,
138,138,92,94,92,94,421.82,422.90,1.08,1,1,10.00,1,15,0.56,
139,139,57,94,57,94,421.82,427.60,5.78,1,1,10.00,1,0,3.37,
140,140,104,94,104,94,421.82,424.10,2.28,1,1,10.00,1,5,1.68,
141,141,16,94,16,94,421.82,427.20,5.38,1,1,10.00,1,15,3.96,
142,142,92,94,92,94,421.89,423.10,1.21,1,1,10.00,1,15,0.56,
143,143,57,94,57,94,421.89,427.30,5.41,1,1,10.00,1,5,3.98,
144,144,77,94,77,94,421.89,427.20,5.31,1,1,10.00,1,15,3.92,
145,145,104,94,104,94,421.89,424.10,2.21,1,1,10.00,1,0,1.68,
146,146,16,94,16,94,421.89,427.30,5.41,1,1,10.00,1,10,3.96,
147,147,24,94,24,94,421.97,428.70,6.73,1,1,10.00,1,15,4.25,
148,148,92,94,92,94,421.97,423.10,1.13,1,1,10.00,1,5,0.56,
149,149,104,94,104,94,421.97,424.10,2.13,1,1,10.00,1,15,1.68,
150,150,57,94,57,94,421.97,427.30,5.33,1,1,10.00,1,0,3.98,
151,151,77,94,77,94,421.97,427.90,5.93,1,1,10.00,1,0,3.31,
152,152,16,94,16,94,421.97,427.40,5.43,1,1,10.00,1,0,3.96,
