link_id,NT,EM,LM,EA,EV
259,45.5210580983,109.839234573,1313.44018337,2795.90727227,518.885565464
260,21.7896601838,572.827868029,636.059346155,355.066707715,30.952998681
261,54.6252697179,131.807081487,1576.12822004,3355.08872672,622.662678557
262,25.4212702145,668.299179367,742.069237181,414.244492334,36.1118317945
263,301.610854793,207.888377991,2246.32162321,4887.80761304,1863.91620569
264,36.9970271871,972.613984258,1079.97576482,602.873680808,52.5556123438
265,308.113863093,223.579697216,2433.95593512,5287.22293765,1938.04271504
266,2513.88112274,309.997458261,1149.16460796,3621.35600323,10866.5119581
267,27.2370752298,716.034835036,795.074182693,443.833384644,38.6912483512
268,7.8036099597,18.8295830696,225.161174291,479.298389531,88.9518112224
269,9.0790250766,238.678278345,265.024727564,147.944461548,12.8970827838
270,2.6012033199,6.27652768988,75.0537247638,159.766129844,29.6506037408
271,9.0790250766,238.678278345,265.024727564,147.944461548,12.8970827838
272,2.6012033199,6.27652768988,75.0537247638,159.766129844,29.6506037408
273,1.81580501532,47.7356556691,53.0049455129,29.5888923096,2.57941655675
274,2.6012033199,6.27652768988,75.0537247638,159.766129844,29.6506037408
275,1.81580501532,47.7356556691,53.0049455129,29.5888923096,2.57941655675
276,2.6012033199,6.27652768988,75.0537247638,159.766129844,29.6506037408
277,0.0,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0
283,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
284,30.6204764635,35.4133786956,128.539471065,356.807968668,309.058417392
285,12.3766894937,143.420926375,159.228795907,92.6249485716,16.6783783883
286,30.6204764635,35.4133786956,128.539471065,356.807968668,309.058417392
287,6.92927444774,0.21395936805,0.21395936805,3.85827164276,8.94012871802
288,30.6204764635,35.4133786956,128.539471065,356.807968668,309.058417392
289,6.92927444774,0.21395936805,0.21395936805,3.85827164276,8.94012871802
290,28.0192731436,29.1368510057,53.4857463012,197.041838824,279.407813651
291,6.92927444774,0.21395936805,0.21395936805,3.85827164276,8.94012871802
292,28.0192731436,29.1368510057,53.4857463012,197.041838824,279.407813651
293,6.92927444774,0.21395936805,0.21395936805,3.85827164276,8.94012871802
294,220.648279712,848.389308573,1089.96698853,1778.74291795,1990.67681907
295,581.473382357,86.854493745,437.311008692,1199.51434503,2622.83898482
296,220.648279712,848.389308573,1089.96698853,1778.74291795,1990.67681907
297,581.473382357,86.854493745,437.311008692,1199.51434503,2622.83898482
298,287.581656091,1193.0769446,1514.96815421,2350.35994945,2564.96894572
299,584.074585677,93.1310214348,512.364733456,1359.28047487,2652.48958856
300,291.213266122,1288.54825594,1620.97804524,2409.53773407,2570.12777883
301,584.074585677,93.1310214348,512.364733456,1359.28047487,2652.48958856
302,307.55551126,1718.16915696,2098.02255485,2675.83776486,2593.34252784
303,607.485415556,149.619770644,1187.84825633,2797.17564347,2919.34502222
304,48.1222614182,116.115762263,1388.49390813,2955.67340211,548.536169205
305,94.4218607966,2482.25409479,2756.25716667,1538.6224001,134.129660951
306,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
307,72.6322006128,1909.42622676,2120.19782052,1183.55569238,103.17666227
308,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
309,65.3689805515,1718.48360409,1908.17803846,1065.20012315,92.858996043
310,4.41700833522,54.012183359,128.058670277,189.355022153,32.2300202975
311,43.5793203677,1145.65573606,1272.11869231,710.13341543,61.905997362
312,4.41700833522,54.012183359,128.058670277,189.355022153,32.2300202975
313,43.5793203677,1145.65573606,1272.11869231,710.13341543,61.905997362
314,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
315,18.6984400516,305.243517084,543.190847369,656.831743389,104.428310563
316,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
317,15.066830021,209.772205746,437.180956343,597.65395877,99.2694774494
318,18.1580501532,477.356556691,530.049455129,295.888923096,25.7941655675
319,19.23882995,133.130477477,556.332239609,1017.77456368,183.062455558
320,30.8686852604,811.506146375,901.084073719,503.011169263,43.8500814647
321,19.23882995,133.130477477,556.332239609,1017.77456368,183.062455558
322,41.7635153524,1097.92008039,1219.1137468,680.544523121,59.3265808052
323,33.8156431587,81.5948599684,975.698421929,2076.95968797,385.45784863
324,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
325,0.0,0.0,0.0,0.0,0.0
326,3.63161003064,95.4713113382,106.009891026,59.1777846192,5.1588331135
327,5.2024066398,12.5530553798,150.107449528,319.532259688,59.3012074816
328,6.23281335054,101.747839028,181.06361579,218.943914463,34.8094368543
329,3.90180497985,9.41479153482,112.580587146,239.649194766,44.4759056112
330,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
331,7.8036099597,18.8295830696,225.161174291,479.298389531,88.9518112224
332,7.26322006128,190.942622676,212.019782052,118.355569238,10.317666227
333,7.8036099597,18.8295830696,225.161174291,479.298389531,88.9518112224
334,0.0,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0,0.0
338,1.81580501532,47.7356556691,53.0049455129,29.5888923096,2.57941655675
339,3.90180497985,9.41479153482,112.580587146,239.649194766,44.4759056112
340,1.81580501532,47.7356556691,53.0049455129,29.5888923096,2.57941655675
341,1.30060165995,3.13826384494,37.5268623819,79.8830649219,14.8253018704
342,10.8948300919,286.413934015,318.029673077,177.533353858,15.4764993405
343,6.50300829975,15.6913192247,187.63431191,399.415324609,74.126509352
344,3.90180497985,9.41479153482,112.580587146,239.649194766,44.4759056112
345,27.2370752298,716.034835036,795.074182694,443.833384644,38.6912483513
